Study,Group,InFinal,Rouder1,Year,numtrials,numhits,k,pi_0,pi_hat,Z_obs,eff_sz1,eff_sz2
1. Alexander and Broughton ,1,1,1,1999,50,18,4,0.25,0.36,1.632993162,0.230940108,0.239804666
2. Dalton ,1,0,0,1997,128,60,4,0.25,0.46875,5.613413994,0.496160388,0.461058014
3. da Silva et al. ,1,1,0,2003,54,18,4,0.25,0.333333333,1.257078722,0.171066746,0.183761866
4. Goulding et al. ,1,1,1,2004,128,30,4,0.25,0.234375,-0.306186218,-0.027063294,-0.036476531
5. Lau ,1,1,1,2004,120,36,4,0.25,0.3,1.159501809,0.105847549,0.11208193
6. Morris et al. ,1,1,1,2003,40,15,4,0.25,0.375,1.643167673,0.259807621,0.27091852
7. Parker *,1,1,1,2006,28,10,4,0.25,0.357142857,1.091089451,0.206196525,0.233847074
8. Parker and Sjo¨de´n ,1,1,1,2008,29,8,4,0.25,0.275862069,0.107211253,0.01990863,0.058763163
9. Parker and Westerlund ,1,1,0,1998,30,7,4,0.25,0.233333333,0,0,-0.038937469
10. Parker and Westerlund ,1,1,0,1998,30,14,4,0.25,0.466666667,2.529822128,0.461880215,0.456882627
11. Parker and Westerlund *,1,1,0,1998,30,12,4,0.25,0.4,1.686548085,0.307920144,0.322240855
12. Parra and Villanueva ,1,1,0,2004,54,25,4,0.25,0.462962963,3.456966486,0.470433553,0.449456793
13. Parra and Villanueva ,1,1,0,2004,54,19,4,0.25,0.351851852,1.571348403,0.213833433,0.2227863
14. Parra and Villanueva ,1,1,0,2006,138,57,4,0.25,0.413043478,4.324964047,0.368165389,0.348796892
15. Pu¨tz et al. ,1,1,1,2007,120,39,4,0.25,0.325,1.791957341,0.163582576,0.166027672
16. Roe and Flint ,1,1,0,2007,14,4,8,0.125,0.285714286,1.414213562,0.377964473,0.405151035
17. Roe et al. ,1,1,1,2003,40,14,4,0.25,0.35,1.278019301,0.202072594,0.218906122
18. Roe et al. ,1,1,0,2001,24,5,4,0.25,0.208333333,-0.23570226,-0.048112522,-0.09922781
19. Roe et al. ,1,1,1,2004,17,4,4,0.25,0.235294118,0.140028008,0.033961781,-0.034308264
20. Roe et al. ,1,1,1,2004,23,6,4,0.25,0.260869565,-0.120385853,-0.025102186,0.024925429
21. Sherwood et al. ,1,1,1,2005,38,8,4,0.25,0.210526316,-0.374634325,-0.060773713,-0.093838328
22. Simmonds-Moore and Holt ,1,1,1,2007,26,6,4,0.25,0.230769231,0,0,-0.045011525
23. Smith and Savva ,1,1,1,2008,114,39,4,0.25,0.342105263,2.162952282,0.202579042,0.202310186
24. Stevens ,1,1,1,2004,50,12,4,0.25,0.24,0,0,-0.023252175
25. Symmons and Morris ,1,1,1,1997,51,23,4,0.25,0.450980392,3.152963125,0.441503147,0.425401823
26. Wezelman and Bierman ,1,1,1,1997,32,5,4,0.25,0.15625,-1.020620726,-0.180421959,-0.23444199
27. Wezelman and Bierman ,1,1,1,1997,40,8,4,0.25,0.2,-0.547722558,-0.08660254,-0.119902333
28. Wezelman and Bierman ,1,1,1,1997,40,10,4,0.25,0.25,-0.182574186,-0.028867513,0
29. Wezelman et al. ,1,1,1,1997,32,14,4,0.25,0.4375,2.245365598,0.39692831,0.398270944
30. Wright and Parker ,1,1,1,2003,74,24,4,0.25,0.324324324,1.34231211,0.156040613,0.164584686
1. Dalton et al. ,2,1,0,1999,32,15,4,0.25,0.46875,2.653613888,0.469097094,0.461058014
2. Dalton et al. ,2,1,0,2000,16,7,4,0.25,0.4375,1.443375673,0.360843918,0.398270944
3. Del Prete and Tressoldi ,2,1,1,2005,120,45,4,0.25,0.375,3.056868405,0.27905263,0.27091852
"4. Roe, Jones, and Maddern ",2,1,1,2007,15,2,4,0.25,0.133333333,-0.745355992,-0.19245009,-0.299613202
"5. Roe, Sherwood, et al. ",2,1,1,2002,31,9,4,0.25,0.290322581,0.311085508,0.055872607,0.090864241
"6. Roe, Sherwood, et al. ",2,1,1,2007,40,14,4,0.25,0.35,1.278019301,0.202072594,0.218906122
"7. Roe, Sherwood, et al. ",2,1,1,2007,40,12,4,0.25,0.3,0.547722558,0.08660254,0.11208193
8. Roney-Dougal et al. ,2,1,1,2008,48,11,4,0.25,0.229166667,-0.166666667,-0.024056261,-0.048819796
9. Roney-Dougal et al. ,2,1,1,2008,48,7,4,0.25,0.145833333,-1.5,-0.216506351,-0.263535502
10. Roney-Dougal & Solfvin ,2,1,1,2008,80,25,4,0.25,0.3125,1.161895004,0.129903811,0.139202001
11. Sherwood et al. ,2,1,1,2000,28,11,4,0.25,0.392857143,1.527525232,0.288675135,0.307638277
12. Sherwood et al. ,2,1,1,2002,12,2,4,0.25,0.166666667,-0.333333333,-0.096225045,-0.206128881
13. Steinkamp ,2,1,1,2001,80,23,4,0.25,0.2875,0.645497224,0.072168784,0.08463689
14. Steinkamp ,2,1,1,2001,80,26,4,0.25,0.325,1.420093894,0.158771324,0.166027672
15. Steinkamp ,2,1,1,2005,80,20,4,0.25,0.25,-0.129099445,-0.014433757,0
16. Tressoldi and Del Prete ,2,1,1,2007,120,40,4,0.25,0.333333333,2.002775851,0.182827585,0.183761866
1. da Silva et al. ,3,1,0,2003,54,10,4,0.25,0.185185185,-0.942809042,-0.12830006,-0.157477613
2. Holt ,3,0,1,2007,15,6,4,0.25,0.4,1.043498389,0.269430126,0.322240855
3. Holt ,3,0,1,2007,15,7,4,0.25,0.466666667,1.639783183,0.423390197,0.456882627
4. Holt and Roe ,3,1,1,2006,40,10,4,0.25,0.25,-0.182574186,-0.028867513,0
5. Lau ,3,1,1,2004,937,232,4,0.25,0.247598719,-0.132028478,-0.004313182,-0.005554455
6. May ,3,0,0,2007,50,32,3,0.333333333,0.64,4.45,0.629325035,0.623631019
7. Parra and Villanueva ,3,1,0,2006,138,38,4,0.25,0.275362319,0.589767825,0.050204371,0.057644709
8. Roe and Holt ,3,1,1,2006,120,28,4,0.25,0.233333333,-0.316227766,-0.028867513,-0.038937469
9. Roney-Dougal et al. ,3,1,1,2008,24,5,4,0.25,0.208333333,-0.23570226,-0.048112522,-0.09922781
10. Roney-Dougal et al. ,3,1,1,2008,24,4,4,0.25,0.166666667,-0.707106781,-0.144337567,-0.206128881
11. Simmonds and Fox ,3,0,1,2004,20,2,4,0.25,0.1,-1.290994449,-0.288675135,-0.403696442
12. Simmonds-Moore and Holt ,3,1,0,2007,26,8,4,0.25,0.307692308,0.452910814,0.088823118,0.128807656
13. Steinkamp ,3,1,1,2000,74,17,4,0.25,0.22972973,-0.268462422,-0.031208123,-0.047480694
14. Steinkamp ,3,1,1,2000,75,16,4,0.25,0.213333333,-0.6,-0.069282032,-0.086969719
15. Steinkamp ,3,1,1,2001,100,21,4,0.25,0.21,-0.808290377,-0.080829038,-0.095129915
16. Steinkamp ,3,1,1,2001,100,28,4,0.25,0.28,0.577350269,0.057735027,0.068000102
17. Storm ,3,0,0,2003,10,5,5,0.2,0.5,1.976423538,0.625,0.643501109
18. Storm and Barrett-Woodbridge ,3,1,0,2007,76,16,4,0.25,0.210526316,-0.662266179,-0.075967141,-0.093838328
19. Storm and Thalbourne ,3,1,0,2001,84,22,4,0.25,0.261904762,0.125988158,0.013746435,0.027281413
20. Targ and Katra ,3,0,0,2000,24,14,4,0.25,0.583333333,3.535533906,0.721687836,0.691046855
21. Watt and Wiseman ,3,0,1,2002,58,17,5,0.2,0.293103448,1.608503803,0.211206897,0.216884425
